rank,org_a,country_a,org_b,country_b,statements,betweenness,description,evidence_quote
13,Hells Angels Motorcycle Club,United States,Sinaloa Cartel,Mexico,3,0.054011,"Mexican cartels including Sinaloa Cartel smuggle cocaine into Canada via the Port of Vancouver, which is controlled by Hells Angels.","In 2012, a report by Transport Canada stated that the a number of Mexican cartels such as the Sinaloa Cartel, Los Zetas, the Knights Templar Cartel and the South Pacific Cartel are smuggling cocaine into Canada via the port of Vancouver."
14,Sicilian Mafia,Italy,'Ndrangheta,Italy,8,0.052703,The two organizations cooperate in cocaine trafficking.,'Ndrangheta and Sicilian Cosa Nostra groups are known to engage in joint ventures in cocaine trafficking operations.
15,Revolutionary Armed Forces of Colombia,Colombia,Sinaloa Cartel,Mexico,3,0.047015,FARC is allied with the Sinaloa Cartel.,"Allies: Drug cartels CJNG , Sinaloa Cartel"
16,Hezbollah,Lebanon,Primeiro Comando da Capital,Brazil,2,0.045809,PCC lists Hezbollah as an ally in infobox.,"Allies: Asia : Turkish mafia , Lebanese mafia , Hezbollah , Yakuza , Triad ."
17,Crips,United States,American Mafia,United States,2,0.039856,The American Mafia is allied with the Crips.,"Allies: ... various street gangs (such as the Bloods, Crips, and Latin Kings)"
18,Hells Angels Motorcycle Club,United States,American Mafia,United States,2,0.038707,The American Mafia is allied with the Hells Angels.,"Allies: ... various motorcycle gangs (such as the Hells Angels, Outlaws, and Pagan's)"
19,Bandidos Motorcycle Club,United States,Outlaws Motorcycle Club,United States,8,0.038316,Infobox lists Outlaws as ally.,"Allies: Brother Speed MC, Chicanos MC, Diablos MC, Mobshitters MC, Outlaws MC, Rock Machine MC, Satudarah MC, X-Team, Los Zetas"
20,Outlaws Motorcycle Club,United States,Hammerskins,United States,2,0.034246,Infobox lists Hammerskins as ally.,"Allies: Aryan Nations, Bandidos MC, Black Pistons MC, Breed MC, Buffalo crime family, Chicago Outfit, Detroit Partnership, Grim Reapers MC, Gypsy Joker MC, Hammerskins, New Orleans crime family, Pittsburgh crime family, Rock Machine MC"
21,Camorra,Italy,Islamic State,Iraq,1,0.033468,Camorra may be in alliance with Islamic State for drug distribution.,"According to numerous articles, the Camorra may be in alliance with the Islamic State ."
22,Gulf Cartel,Mexico,Cártel de Jalisco Nueva Generación,Mexico,8,0.033352,Infobox lists Cártel del Golfo as an ally of CJNG.,"Aliados: Cártel de Tijuana, Cártel del Golfo, Los Metros, Los Chapitos, Los Viagras, Cártel de Caborca, Fuerza Anti-Unión, Los Lobos"
23,Gulf Cartel,Mexico,'Ndrina Pesce,Italy,2,0.032834,"Ierinò, Commisso, Coluccio, Aquino, and Pesce managed drug trafficking together with Cartel del Golfo.","Il traffico veniva gestito insieme al Cartello del Golfo e ai cartelli colombiani , per la 'Ndrangheta c'erano presunti affiliati agli Ierinò , Commisso , Coluccio, Aquino e Pesce"
24,Mexican Mafia,United States,Sinaloa Cartel,Mexico,5,0.032805,Sinaloa Cartel is listed as an ally of Mexican Mafia in infobox.,"Allies: Armenian Power , Aryan Brotherhood , Gambino crime family , Hells Angels MC (1960s–1980s) , Independent Soldiers , Los Angeles crime family , Mexikanemi , Mongols MC , MS-13 , Sinaloa Cartel , Sureños , Tijuana Cartel"
25,Outlaws Motorcycle Club,United States,American Mafia,United States,2,0.032609,The American Mafia is allied with the Outlaws.,"Allies: ... various motorcycle gangs (such as the Hells Angels, Outlaws, and Pagan's)"
26,Rizzuto crime family,Canada,Bonanno crime family,United States,7,0.032586,Bonanno family was formerly allied with Rizzuto family per infobox.,Allies: ... Rizzuto crime family (formerly)
27,'Ndrina Mancuso,Italy,Revolutionary Armed Forces of Colombia,Colombia,3,0.032137,The Mancuso have contacts with the FARC.,Hanno contatti con ... le FARC colombiane
28,Sicilian Mafia,Italy,American Mafia,United States,8,0.030739,The American Mafia cooperates with the Sicilian Mafia in criminal activities.,"Today, the Italian-American Mafia cooperates in various criminal activities with Italian organized crime groups, such as the Sicilian Mafia, the Camorra of Campania and the 'Ndrangheta of Calabria."
29,Lashkar-e-Taiba,Pakistan,Al-Qaeda,Saudi Arabia,5,0.030595,Lashkar-e-Taiba is allied with al-Qaeda.,The following are presently believed to be allied with al-Qaeda: - Lashkar-e-Taiba
30,Latin Kings,United States,American Mafia,United States,4,0.030497,The American Mafia is allied with the Latin Kings.,"Allies: ... various street gangs (such as the Bloods, Crips, and Latin Kings)"
