rank,org_a,comm_a,org_b,comm_b,statements,relationship,betweenness,description,evidence
19,Sinaloa Cartel,C1 (159),'Ndrangheta,C4 (50),1,cooperation,0.016215,'Ndrangheta is an ally of Sinaloa Cartel.,international alliances are thought to include ... 'Ndrangheta
20,Hard Livings,C66 (24),Sicilian Mafia,C4 (50),1,cooperation,0.015589,Hard Livings cooperated with Sicilian Mafia in diamond and cannabis trafficking.,Internationally they have been known to have cooperated with the Sicilian mafia in the trafficking of illegal diamonds as well as trafficking cannabis to Europe.
21,Hamas,C24 (40),Wagner Group,C44 (26),1,cooperation,0.015462,Wagner Group allegedly trained Hamas militants.,the National Resistance Center of Ukraine alleged that the Russian Wagner Group trained Hamas militants ahead of the 7 October attacks.
22,Sinaloa Cartel,C1 (159),Crips,C21 (20),1,cooperation,0.014946,Crips are international allies of Sinaloa Cartel.,international alliances are thought to include Crips
23,Bandidos Motorcycle Club,C2 (243),Los Zetas,C1 (159),4,cooperation,0.014927,Infobox lists Los Zetas as ally.,"Allies: Brother Speed MC, Chicanos MC, Diablos MC, Mobshitters MC, Outlaws MC, Rock Machine MC, Satudarah MC, X-Team, Los Zetas"
24,Wagner Group,C44 (26),Islamic State,C7 (120),2,conflict,0.014837,Infobox lists Islamic State as an opponent of Wagner Group.,Opponents: List: Islamic State
25,American Mafia,C4 (50),Hells Angels Motorcycle Club,C2 (243),2,cooperation,0.014767,The American Mafia is allied with the Hells Angels.,"Allies: ... various motorcycle gangs (such as the Hells Angels, Outlaws, and Pagan's)"
26,Gooch Close Gang,C25 (22),Shower Posse,C42 (24),1,cooperation,0.014299,Infoboox lists Shower Posse as ally.,Allies: Shower Posse
27,Sam Gor,C18 (40),Hells Angels Motorcycle Club,C2 (243),1,cooperation,0.013352,Hells Angels is listed as an ally of Sam Gor in the infobox.,"Allies: 14K, Bamboo Union, Big Circle Gang, Sun Yee On, Wo Shing Wo, Yamaguchi-gumi, United Wa State Army, Lebanese mafia, Comancheros, Hells Angels"
28,Nuova Famiglia,C5 (68),American Mafia,C4 (50),3,cooperation,0.012785,The Nuova Famiglia was created in agreement with Cosa Nostra.,"Proprio tra fine di questo decennio e i primissimi anni di quello successivo nacque, “d’intesa con Cosa nostra”, la Nuova Famiglia (NF)"
29,American Mafia,C4 (50),Crips,C21 (20),2,cooperation,0.012729,The American Mafia is allied with the Crips.,"Allies: ... various street gangs (such as the Bloods, Crips, and Latin Kings)"
30,Sinaloa Cartel,C1 (159),American Mafia,C4 (50),2,cooperation,0.012447,Cosa Nostra is an ally of Sinaloa Cartel.,international alliances are thought to include ... Cosa Nostra
